,title,averageRating,numVotes
13851,'Le mystre Koumiko',7.9,565
13859,'The Nanny',7.2,5387
13862,'Ne nous fchons pas',6.8,1127
13864,'Neues vom Hexer',6.3,626
13866,'The Night Caller',5.5,674
13876,'None But the Brave',6.5,1639
13877,Now,6.7,635
13883,'Obchod na korze',8.2,7984
13885,'Obyknovennyy fashizm',8.2,1528
13890,'Old Surehand',5.9,1299
13892,'Once a Thief',6.5,1345
13900,'Operation Crossbow',6.6,4333
13901,'Operatsiya \'Y\' i drugie priklyucheniya Shurika',8.6,12005
13904,Othello,7.1,1349
13906,'Our Man Flint',6.5,5989
13907,'The Outlaws Is Coming',6.4,542
13912,'Paris vu par...',6.8,994
13915,'A Patch of Blue',8.0,7375
13917,'The Pawnbroker',7.7,8354
13919,'Per qualche dollaro in pi',8.3,232648
13922,'Perlicky na dne',6.7,604
13930,'Pierrot le Fou',7.6,29594
13939,'Una pistola per Ringo',6.5,1608
13950,'Procs de Jeanne d\'Arc',7.5,4235
13953,'I pugni in tasca',7.8,3885
13963,'The Railrodder',7.1,1353
13964,Rapture,7.2,760
13966,'Rasputin: The Mad Monk',6.3,2668
13968,'Rat Pfink a Boo Boo',4.4,734
13971,'Red Line 7000',5.7,833
13973,'Rekopis znaleziony w Saragossie',7.9,4865
13975,Repulsion,7.7,48870
13978,'Return from the Ashes',7.0,783
13981,'Ride in the Whirlwind',6.5,3163
13986,'The Rounders',6.2,1520
13992,Salto,7.3,667
13994,Samurai,7.5,1951
13995,'The Sandpiper',6.3,2903
13996,'Sands of the Kalahari',6.8,1195
13998,'The Satan Bug',6.2,2252
14022,Shakespeare-Wallah,6.8,661
14023,She,5.8,2980
14024,Shenandoah,7.3,7913
14025,'Ship of Fools',7.1,5202
14028,'Shunpu den',7.3,1253
14031,'Simn del desierto',8.0,9375
14034,'Ski Party',5.4,607
14035,'The Skull',6.3,2765
14037,'The Slender Thread',7.0,1903
14044,'The Sons of Katie Elder',7.2,14548
14046,'The Sound of Music',8.0,205327
14049,'Hra s kameny',7.0,932
14051,'The Spy Who Came In from the Cold',7.6,15154
14053,'The Cage',7.7,5305
14061,'A Study in Terror',6.5,1786
14070,Szegnylegnyek,7.7,2526
14075,'Teen-Age Strangler',2.3,827
14080,'Terrore nello spazio',6.3,5416
14081,'That Darn Cat!',6.8,6069
14082,'That Funny Feeling',6.8,807
14084,'Those Calloways',6.7,564
14085,'Those Magnificent Men in Their Flying Machines or How I Flew from London to Paris in 25 hours 11 minutes',7.0,7584
14086,'A Thousand Clowns',7.4,3185
14088,Thunderball,7.0,107082
14094,'Time Piece',7.7,674
14096,'A tizedes meg a tbbiek',8.5,2173
14097,'Tjorven och Skrllan',6.3,876
14099,'Tky orinpikku',7.8,1618
14102,'The Tomb of Ligeia',6.6,5425
14105,'The Train',7.8,14357
14108,Tri,7.9,683
14109,'Les tribulations d\'un Chinois en Chine',6.3,1721
14110,'Tridtsat tri',7.1,632
14115,'Two on a Guillotine',6.2,971
14120,'Der unheimliche Mnch',6.4,554
14125,'Da nao tian gong',8.1,1754
14126,'Vaghe stelle dell\'Orsa...',7.2,1713
14137,'La vie de chteau',6.8,857
14142,'Village of the Giants',3.6,2063
14144,Vinyl,4.5,896
14146,'Voyna i mir I: Andrey Bolkonskiy',8.2,1355
14147,'Von Ryan\'s Express',7.1,12661
14148,'Voyage to the Prehistoric Planet',3.8,1467
14151,Waqt,7.8,1195
14152,'The War Game',8.0,6257
14153,'War-Gods of the Deep',5.4,1932
14154,'The War Lord',6.8,2982
14156,'What\'s New Pussycat',6.2,9522
14158,'Where the Spies Are',5.8,619
14161,'Who Killed Teddy Bear',6.9,638
14166,'I criminali della galassia',4.6,859
14167,'Winnetou - 3. Teil',6.7,2321
14176,'The Yellow Rolls-Royce',6.4,3208
14178,'Young Cassidy',6.5,1034
14181,Yoyo,7.5,1264
14183,Ykoku,7.5,1590
14188,'Zatichi jigoku tabi',7.4,1233
14199,'Viva Maria!',6.4,3423
14200,'Der lprinz',5.9,1202
14205,Batman,7.5,18900
14207,'Captain Scarlet and the Mysterons',7.9,1448
14210,Daktari,7.1,871
14211,'Dark Shadows',8.0,3943
14215,'Family Affair',6.9,2180
14222,'The Green Hornet',7.4,2588
14226,'The Hollywood Squares (Daytime)',6.7,770
14233,'The Magilla Gorilla Show',6.2,1606
14236,'Mission: Impossible',7.9,8068
14237,'The Monkees',7.4,3669
14239,'The New Adventures of Superman',7.4,778
14244,'The Rat Patrol',7.5,1431
14245,'The Road Runner Show',8.0,9061
14249,Skippy,6.3,931
14250,'Space Ghost',7.3,1537
14252,'Star Trek',8.3,73444
14255,Tarzan,7.1,775
14256,'That Girl',7.1,2208
14257,'Till Death Us Do Part',7.3,817
14258,'The Time Tunnel',7.6,3134
14259,Underdog,7.2,2047
14260,'Urutoraman: Ks tokusatsu shirzu',7.9,549
14264,'10:30 P.M. Summer',6.6,607
14267,'40 Guns to Apache Pass',5.8,861
14268,'5 tombe per un medium',5.5,891
14269,'7 Women',6.8,2125
14279,'Abschied von gestern - (Anita G.)',7.0,867
14286,'Africa addio',7.1,1343
14287,'Agent for H.A.R.M.',2.3,1224
14296,Alfie,7.0,13520
14299,'Alice in Wonderland',7.0,744
14304,'The Alphabet Murders',5.4,1408
14305,'Alvarez Kelly',6.4,2146
14307,'Amanti d\'oltretomba',5.8,2202
14308,'Ambush Bay',5.5,545
14313,'Andrey Rublev',8.1,46898
14314,'Un angelo per Satana',6.5,557
14315,'Any Wednesday',6.0,868
14317,Apa,7.5,837
14319,'The Appaloosa',6.3,2907
14320,Arabesque,6.5,6319
14324,'L\'armata Brancaleone',7.9,4387
14325,'Around the World Under the Sea',5.3,661
14327,'Drop Dead Darling',5.6,505
14330,'Assault on a Queen',5.6,983
14333,'Au hasard Balthazar',7.9,18014
14338,'Our Man in Marrakesh',5.7,682
14340,'Batman: The Movie',6.5,29720
14342,'Beau Geste',6.1,511
14345,'Beregis avtomobilya',8.1,4779
14347,'The Bible: In the Beginning...',6.3,4876
14348,'A Big Hand for the Little Lady',7.3,3884
14350,'Billy the Kid Versus Dracula',3.8,1592
14355,'Blood Bath',5.2,760
14357,Blowup,7.6,56484
14358,'The Blue Max',7.1,6357
14359,'Born Free',7.2,5964
14360,'Borom sarret',7.1,953
14364,'The Brides of Fu Manchu',5.5,1090
14371,'Caccia alla volpe',6.5,3762
14372,'Los caifanes',7.8,559
14377,'Carry On Screaming!',6.9,4485
14380,'Cast a Giant Shadow',6.3,2866
14382,'Castro Street',6.2,509
14385,'La caza',7.6,1662
14389,'Chamber of Horrors',6.1,900
14390,'Charlie Brown\'s All Stars!',7.6,1130
14392,'The Chase',7.2,10397
14409,'I crudeli',6.8,1313
14410,'Les cratures',6.6,513
14413,Cul-de-sac,7.1,11803
14415,'Curse of the Swamp Creature',2.6,658
14416,'La cure',5.8,509
14419,'Dai-bosatsu tge',8.0,9671
14420,'Daleks\' Invasion Earth 2150 A.D.',6.1,3303
14426,'Dead Heat on a Merry-Go-Round',6.1,1048
14427,'Deadlier Than the Male',6.4,1429
14433,'L\'espion',5.8,678
14441,'2 ou 3 choses que je sais d\'elle',6.8,6495
14442,'Le deuxime souffle',7.9,5469
14444,'The Witches',5.8,2494
14450,Django,7.2,24880
14458,'Don\'t Lose Your Head',6.5,2515
14468,'How the Grinch Stole Christmas!',8.3,45317
14477,'Duel at Diablo',6.6,2950
14484,'The Endless Summer',7.7,5118
14491,'Esta Noite Encarnarei no Teu Cadver',7.1,1685
14494,'Et Cetera',6.5,839
14496,'Fahrenheit 451',7.2,41155
14500,'The Family Way',7.3,1358
14502,'Fantastic Voyage',6.8,17066
14505,'Fantmas contre Scotland Yard',6.8,6161
14506,Faraon,7.4,1705
14511,Film,7.5,1860
14513,'A Fine Madness',5.7,1231
14515,'Un fiume di dollari',5.9,701
14521,'The Fortune Cookie',7.3,12748
14524,'Frankie and Johnny',5.7,1797
14527,Freiheit,5.3,711
14529,'The Frozen Dead',5.1,692
14531,'Funeral in Berlin',6.9,6119
14532,'A Funny Thing Happened on the Way to the Forum',6.9,8376
14533,'Furankenshutain no kaij: Sanda tai Gaira',6.4,2415
14538,Gambit,7.1,5289
14539,'Daikaij kett: Gamera tai Barugon',5.0,2040
14543,'Le gendarme  New York',6.5,6891
14545,'Tajemstv hradu v Karpatech',7.4,1147
14546,'Take This Job and Shove It',5.1,732
14552,Taps,6.8,16567
14553,'Tarzan the Ape Man',3.4,5195
14554,Tattoo,5.3,697
14559,'Terreur cannibale',2.4,698
14562,'They All Laughed',6.4,2262
14563,Thief,7.4,25449
14566,'This Is Elvis',7.5,1167
14571,'Di yi lei xing wei xian',7.4,725
14572,'Ticket to Heaven',6.9,733
14574,'Tiempo de revancha',7.8,933
14578,'Die Todesgttin des Liebescamps',3.7,563
14581,'Tout feu tout flamme',6.2,682
14586,'Tre fratelli',7.2,1414
14588,'Trop tt/Trop tard',5.8,516
14589,'True Confessions',6.3,7269
14594,Tuppen,5.8,857
14602,'Umrao Jaan',7.8,957
14605,'Under the Rainbow',5.5,2553
14609,Unico,7.5,731
14610,'Les uns et les autres',7.4,2406
14611,'The Unseen',5.3,1527
14617,'Uuno Turhapuron aviokriisi',5.6,740
14620,Vabank,7.9,3949
14624,'Variola vera',8.2,2355
14625,'Varn!ng fr Jnssonligan',6.3,3510
14631,Victory,6.7,27723
14635,'Los violadores',5.2,700
14638,'Visiting Hours',5.7,3711
14641,'Een vlucht regenwulpen',6.3,533
14645,Wacko,4.9,955
14650,'The Wave',7.1,2967
14657,'Whose Life Is It Anyway?',7.3,2616
14665,'Wojna swiatw - nastepne stulecie',7.0,527
14666,Wolfen,6.3,9113
14673,'Xun cheng ma',5.7,547
14674,Yaarana,7.1,1629
14677,'Yong zhe wu ju',7.3,675
14686,'Zoot Suit',6.8,1064
14687,'Zorro: The Gay Blade',6.3,4027
14690,'At the Movies',8.4,848
14693,'The Blue and the Gray',7.6,1492
14694,'Brideshead Revisited',8.5,6585
14696,Brookside,6.6,627
14698,'Cagney  Lacey',6.8,3368
14700,Cheers,7.8,47963
14702,'The Comic Strip Presents...',7.9,1238
14707,'East of Eden',7.4,669
14709,Fame,7.0,3215
14710,'Family Ties',7.2,15950
14713,'A Fine Romance',7.0,584
14723,'The Incredible Hulk',6.9,1418
14729,'Knight Rider',6.9,30145
14732,'Late Night with David Letterman',7.5,4007
14735,'Marco Polo',7.8,1064
14736,'Matt Houston',6.6,1008
14738,'The Missionary',6.2,2070
14739,Nature,8.9,557
14741,Newhart,7.7,5717
14748,'Pokrovskie vorota',8.1,2576
14749,'Police Squad!',8.4,15873
14753,'Remington Steele',7.2,7470
14755,'The Scooby and Scrappy-Doo Puppy Hour',6.8,1522
14756,'Scooby-Doo and Scrappy-Doo',6.4,3472
14759,'Silver Spoons',6.1,3741
14760,'Smiley\'s People',8.6,3692
14761,'Spider-Man and His Amazing Friends',7.2,2948
14762,'Square Pegs',7.3,981
14763,'St. Elsewhere',7.9,3699
14765,'T.J. Hooker',6.0,3712
14766,'Tales of the Gold Monkey',8.1,1408
14772,Voyagers!,8.0,1350
14776,'The Young Ones',8.2,13401
14781,'48 Hrs.',6.9,69209
14792,'The Aftermath',4.3,624
14796,'Airplane II: The Sequel',6.2,49093
14801,'Alone in the Dark',6.1,4646
14807,'Amici miei - Atto II',7.7,2802
14808,'Amityville II: The Possession',5.6,10265
14810,'Amor Estranho Amor',5.9,908
14814,Android,5.9,2244
14817,Angel,6.4,760
14820,Annie,6.6,39961
14821,'Anno 2020 - I gladiatori del futuro',4.6,616
14832,Arth,7.9,1269
14833,Arvottomat,7.4,1058
14834,'L\'as des as',6.7,3124
14842,'The Atomic Cafe',7.6,3904
14843,'Attack Force Z',5.6,2183
14847,'Author! Author!',6.2,4987
14853,'Bakuretsu toshi',6.1,559
14854,'La balance',6.6,1088
14859,Banza,5.9,1497
14860,Barbarosa,6.4,1446
14863,'Basket Case',6.2,16310
14864,'Le battant',6.3,935
14865,'The Beach Girls',5.0,1377
14866,'The Beast Within',5.6,3529
14867,'The Beastmaster',6.2,20873
14869,Befrielsesbilleder,5.4,525
14875,'Best Friends',5.5,2586
14876,'The Best Little Whorehouse in Texas',6.0,9929
14884,'Bill Cosby: Himself',8.2,3424
14886,'Bingo Bongo',6.1,1704
14889,'Blade Runner',8.1,693537
14892,'Blood Tide',4.0,1226
14897,Boardinghouse,3.9,635
14901,Bomber,6.4,3742
14903,'Bonnie\'s Kids',6.1,721
14904,'The Border',6.4,5942
14906,Borotalco,6.9,1912
14909,'La boum 2',6.2,4134
14911,'Boys from the Blackstuff',8.6,1102
14915,'Brimstone  Treacle',6.4,1367
14916,'Britannia Hospital',6.3,2416
14921,'Bugs Bunny\'s 3rd Movie: 1001 Rabbit Tales',7.1,1766
14922,'Burden of Dreams',7.9,6467
14926,'Caf Flesh',6.4,815
14931,'Cane e gatto',5.8,1646
14933,'Cannery Row',6.7,3395
14937,'Cat People',6.2,19306
14941,'The Challenge',6.4,1945
14942,'Chambre 666',6.6,1202
14943,'Chan Is Missing',7.1,1046
14945,Charodei,7.2,1692
14948,'Le choc',5.8,791
14952,'Class of 1984',6.6,9728
14956,'La colmena',7.2,942
14963,'The Compleat Beatles',8.2,1078
14965,'The Concrete Jungle',4.6,533
14971,Creepshow,6.9,42409
14976,'Csak semmi pnik...',7.3,686
14980,'D\'Artacan y los tres mosqueperros',7.3,2240
14985,Danton,7.5,6430
14986,'The Dark Crystal',7.2,62130
14991,'Dead Men Don\'t Wear Plaid',6.9,20403
14994,'Deadly Eyes',4.9,1119
14998,'Death Valley',5.5,1391
14999,Deathtrap,7.0,12115
15010,'Desh Premee',6.0,523
15012,'Deux heures moins le quart avant Jsus-Christ',5.9,1492
15017,Diner,7.1,18611
15023,'Don\'t Go to Sleep',6.7,1172
15028,'The Draughtsman\'s Contract',7.3,9186
15038,Dgkesely,8.0,965
15039,'E.T. the Extra-Terrestrial',7.8,372343
15042,'Eating Raoul',6.8,7005
15044,'Eccezzziunale... veramente',6.5,1225
15045,'Egymsra nzve',7.2,758
15047,'The Electric Grandmother',7.8,532
15053,'Endangered Species',5.9,894
15055,'Den enfaldige mrdaren',7.6,2870
15056,Enigma,6.0,1246
15061,'The Escape Artist',6.2,635
15066,Eureka,6.0,2971
15067,'The Evil Dead',7.5,187288
15068,'Evil Under the Sun',7.1,14729
15069,'The Executioner\'s Song',7.1,1677
15070,'An Exercise in Discipline: Peel',6.3,890
15079,'Fanny och Alexander',8.1,57761
15081,'Les fantmes du chapelier',7.2,1015
15084,'Fast Times at Ridgemont High',7.2,94496
15085,Fast-Walking,6.5,605
15086,Fehrlfia,7.9,1386
15092,'Who Dares Wins',6.3,2866
15094,Firefox,6.0,25141
15095,'First Blood',7.7,226441
15097,Fitzcarraldo,8.1,31583
15098,'Five Days One Summer',6.1,979
15099,'Die flambierte Frau',6.1,522
15101,'The Flight of Dragons',7.7,5326
15105,'Forbidden World',5.2,4426
15106,'Forced Vengeance',5.7,2759
15110,Frances,7.4,7032
15114,'Friday the 13th Part III',5.7,47720
15115,Frightmare,4.6,1182
15116,'Cries in the Night',5.2,1258
15122,Gandhi,8.0,217602
15125,'Le gendarme et les gendarmettes',6.2,6879
15142,'Grand Hotel Excelsior',5.9,1091
15144,'Grease 2',4.4,32889
15148,'Rosso sangue',5.4,2500
15153,Grsnklingar,5.3,552
15154,'La guerra del ferro: Ironmaster',4.7,812
15158,'Hadduta misrija',7.3,976
15160,'Hajji Washington',7.1,515
15161,'Eine Saison in Hakkari',7.3,551
15165,'Hanky Panky',5.7,2374
15172,'Heat and Dust',6.6,1569
15178,'Hey Good Lookin\'',6.3,846
15189,'L\'homme bless',6.9,855
15191,'Honkytonk Man',6.6,8043
15193,Inseminoid,3.9,3018
15196,'The House Where Evil Dwells',4.5,1051
15197,'Human Highway',6.0,626
15198,'The Hunchback of Notre Dame',6.4,1102
15200,'Huo Yuan-Jia',7.3,527
15201,'I Ought to Be in Pictures',6.2,884
15205,'Identificazione di una donna',6.7,2636
15206,'If You Could See What I Hear',6.8,772
15217,'In viaggio con pap',6.4,1117
15218,Inchon,2.6,660
15219,Incubus,5.5,2148
15221,'Ingenjr Andres luftfrd',7.1,726
15224,'Inside the Third Reich',7.3,559
15233,'Ishchite zhenshchinu',7.9,697
15234,'It Came from Hollywood',5.8,852
15235,Ivanhoe,6.7,4512
15242,'Jekyll and Hyde... Together Again',6.3,1109
15243,Jinxed!,4.7,961
15250,'Julie Darling',6.0,501
15252,'The Junkman',5.5,659
15255,'Jnssonligan  DynamitHarry',6.1,3314
15257,'Kamikaze 1989',5.8,644
15270,'Kiss Me Goodbye',6.1,1903
15275,'Knight of the Phoenix: Part 1',7.4,1886
15282,'Laberinto de pasiones',6.2,3881
15285,'The Last American Virgin',6.3,7862
15288,'The Last Unicorn',7.5,24397
15292,'Let\'s Spend the Night Together',6.6,640
15302,'Little Gloria... Happy at Last',7.9,661
15310,'Lung siu yeh',6.5,3473
15311,'Long zhi ren zhe',7.4,1728
15312,'Lookin\' to Get Out',5.2,667
15313,'Losing Ground',6.6,522
15327,'Made in Britain',7.3,6252
15331,'Making Love',6.9,2421
15334,'The Man from Snowy River',7.3,7996
15336,'Manhattan Baby',4.9,2374
15340,'Maratonci trce pocasni krug',9.0,14430
15341,'Marg Yazdgerd',8.4,751
15347,'Mazes and Monsters',4.1,3291
15348,'Les matres du temps',7.4,5049
15349,Megaforce,3.8,3319
15353,'Meri Jung',7.3,1165
15357,'A Midsummer Night\'s Sex Comedy',6.6,18455
15361,Missing,7.7,18558
15365,'Les misrables',7.3,845
15368,'Moy drug Ivan Lapshin',7.7,2080
15369,'Moj tata na odredjeno vreme',7.1,772
15373,Monsignor,5.1,826
15374,'Monty Python Live at the Hollywood Bowl',7.9,13239
15376,Moonlighting,7.5,2619
15379,'La morte vivante',5.8,1927
15380,'Mortelle randonne',7.1,2273
15381,'Mother Lode',6.0,1190
15383,'Moznosti dialogu',8.1,4014
15387,'My Favorite Year',7.4,8683
15396,'Namak Halaal',7.3,2353
15400,'Narayama bushik',7.9,7343
15404,'Class Reunion',4.8,1939
15411,'Next of Kin',6.3,2083
15414,'Night Shift',6.6,14057
15420,'La notte di San Lorenzo',7.4,3826
15421,'La nuit de Varennes',7.3,2023
15422,'I nuovi barbari',4.6,2400
15428,'An Officer and a Gentleman',7.0,49643
15437,'One from the Heart',6.5,5412
15448,Pandemonium,5.4,1062
15449,Panelkapcsolat,7.2,991
15453,Paradise,5.0,2395
15456,Parasite,3.9,2237
15460,Partners,5.3,1174
15461,'La passante du Sans Souci',6.6,919
15463,Passion,6.2,2301
15466,'Penitentiary II',4.2,541
15467,'Permanent Vacation',6.4,8580
15468,'Personal Best',6.3,2486
15471,'A Piano for Mrs. Cimino',8.2,599
15475,'Pink Floyd: The Wall',8.1,76053
15476,'The Pirate Movie',5.4,4021
15478,'The Plague Dogs',7.8,7027
15483,Poltergeist,7.3,144480
15485,'Polyoty vo sne i nayavu',7.6,986
15487,'Porky\'s',6.2,38528
15489,'Pour cent briques t\'as plus rien',6.0,738
15492,'Prem Rog',7.2,880
15497,'Privates on Parade',4.7,815
15499,'Le prix du danger',6.7,925
15504,Przesluchanie,8.0,3010
15505,Przypadek,7.9,8626
15509,'Le pre Nol est une ordure',7.6,8569
15510,Q,6.0,6998
15518,Querelle,6.8,5831
15525,'Raw Force',5.4,1537
15530,'Rehearsal for Murder',6.9,603
15533,'Ren pi deng long',6.6,709
15536,'Le retour de Martin Guerre',7.4,4041
15541,'Richard Pryor: Live on the Sunset Strip',7.7,3787
15544,'Rocky III',6.8,174478
15549,Ruckus,6.0,622
15553,'S tebou me bav svet',7.7,1228
15557,'Sans soleil',8.0,9595
15558,Sapiches,5.5,1178
15559,'Satte Pe Satta',7.2,3051
15561,'Savannah Smiles',7.2,1855
15563,'The Scarlet Pimpernel',7.7,4286
15567,'Scusate il ritardo',7.3,866
15570,'The Secret of NIMH',7.6,36250
15573,'The Seduction',4.9,1019
15574,'Die Sehnsucht der Veronika Voss',7.8,6248
15576,'The Sender',6.0,1700
15581,'The Shadow Riders',6.8,2176
15582,Shakti,7.7,1900
15584,'Shi ba ban wu yi',6.9,1396
15585,'Ninja bugeicho momochi sandayu',6.3,651
15586,'Shoot the Moon',6.9,2466
15588,'Silent Rage',5.5,5086
15590,'Six Pack',6.0,2709
15591,'Six Weeks',5.8,790
15593,'The Slayer',5.3,2078
15594,'The Slumber Party Massacre',5.7,11485
15595,'Slyozy kapali',7.9,616
15597,Smithereens,6.8,1760
15600,'The Snowman',8.2,12928
15601,'The Soldier',5.4,1045
15604,'Sophie\'s Choice',7.6,42241
15610,'Split Image',6.5,735
15612,Sportloto-82,6.9,1743
15614,'Lo squartatore di New York',6.4,9574
15619,'Der Stand der Dinge',7.0,2915
15620,'Star Trek II: The Wrath of Khan',7.7,112679
15622,Starstruck,6.9,1025
15624,'Still of the Night',6.1,4185
15625,'A Stranger Is Watching',5.2,580
15627,'Summer Lovers',5.8,3783
15629,Superstition,5.8,2577
15630,'El sur',7.9,4552
15634,'Swamp Thing',5.4,13082
15635,'Sweeney Todd: The Demon Barber of Fleet Street',8.4,3380
15636,'The Sword and the Sorcerer',5.6,5614
15637,'Sword of the Valiant: The Legend of Sir Gawain and the Green Knight',4.5,1936
15638,'Taboo II',7.2,1050
15639,'Tag: The Assassination Game',6.0,806
15644,Tango,7.7,2517
15648,Tempest,6.5,2139
15649,Tenebre,7.1,20560
15652,'Tesna koza',8.2,3018
15655,Tex,6.5,1976
15656,'That Championship Season',6.4,560
15657,'They Call Me Bruce',5.8,1443
15658,'The Thing',8.1,371117
15659,'Things Are Tough All Over',6.0,3078
15666,'Time Walker',3.5,1546
15669,Tootsie,7.4,97918
15670,'Tau ban no hoi',7.5,901
15671,'Toute une nuit',7.0,609
15672,'The Toy',5.9,11169
15673,'La tragedia di un uomo ridicolo',6.6,847
15674,'Trail of the Pink Panther',5.0,9612
15677,'La traviata',7.0,1324
15680,'Les trois couronnes du matelot',7.2,716
15681,'Trick or Treats',3.9,969
15682,'Triumphs of a Man Called Horse',5.6,538
15683,TRON,6.8,113289
15684,'La truite',5.9,677
15691,'Une chambre en ville',6.9,1167
15693,'Uuno Turhapuro menett muistinsa',5.8,1080
15700,Venom,5.8,2478
15701,'The Verdict',7.7,36086
15704,'Vice Squad',6.6,1941
15707,'Victor Victoria',7.6,19443
15709,Vigilante,6.5,2963
15710,Vincent,8.3,21805
15711,'Violenza in un carcere femminile',4.8,649
15715,'Vokzal dlya dvoikh',7.8,2922
15716,'Volver a empezar',7.0,1251
15721,'Waga seishun no Arcadia',7.2,784
15725,'Warlords of the 21st Century',5.1,1148
15727,'We Will Rock You: Queen Live in Concert',8.7,902
15731,'Die weie Rose',7.1,864
15733,'White Dog',7.1,8808
15734,'Wielki Szu',7.4,879
15737,'Wild Style',7.1,2428
15742,'Witness for the Prosecution',7.2,716
15744,'A Woman Called Golda',7.5,775
15745,'The World According to Garp',7.2,24900
15747,'World War III',6.6,617
15748,'Wrong Is Right',5.7,1770
15749,'Ren zhe wu di',7.3,2463
15752,'Xian si jue',7.2,1709
15758,Yol,8.1,12477
15759,'Il mondo di Yor',4.5,2776
15761,'Young Doctors in Love',5.5,2943
15766,Zapped!,5.0,6359
15771,Znachor,7.8,2482
15772,'Jui gaai paak dong',6.7,1361
15781,'The A-Team',7.5,34237
15782,'After MASH',5.6,555
15783,'The New Scooby and Scrappy-Doo Show',6.5,1481
15784,'Alternatywy 4',8.5,1424
15785,'Alvin  the Chipmunks',6.6,2813
15790,Automan,6.9,1618
15792,Bananaman,6.7,1503
15796,'The Bill',6.6,2931
15797,'The Black Adder',8.1,35742
15803,'The Charlie Brown and Snoopy Show',7.4,1552
15804,Chiefs,8.2,1494
15812,'Dungeons  Dragons',8.0,4513
15816,'Fraggle Rock',7.9,7073
15820,'Hardcastle and McCormick',6.5,2370
15822,'The Hitchhiker',6.8,1327
15823,Hotel,6.4,1275
15824,'Inspector Gadget',6.8,18769
15826,'Jane Eyre',8.0,3162
15829,'Just Good Friends',7.0,833
15832,'Kamiondzije 2',8.4,840
15836,'Mama\'s Family',7.3,4550
15837,Manimal,6.6,1674
15838,'Mansfield Park',6.7,928
15842,'Monaco Franze - Der ewige Stenz',8.2,756
15849,'Reading Rainbow',8.3,3866
15850,'Reilly: Ace of Spies',8.1,1350
15852,'Return to Eden',7.3,1251
15854,'SCTV Channel',8.3,718
15856,'Scarecrow and Mrs. King',7.0,2577
15861,SuperTed,6.9,1313
15863,Terrahawks,7.2,641
15864,'The Thorn Birds',7.9,8144
15868,V,7.9,13633
15871,Webster,5.7,2683
15874,'The Winds of War',8.1,3663
15876,'A Woman of Substance',7.6,839
15879,'10 to Midnight',6.3,6822
15880,'1990: I guerrieri del Bronx',5.3,2956
15881,'2019 - Dopo la caduta di New York',5.6,2774
15883,'A gai waak',7.4,15077
15887,Adam,7.3,549
15891,'L\'africain',6.2,733
15896,'Al bar dello sport',6.4,606
15898,'All the Right Moves',5.9,15682
15902,'Amityville 3-D',4.2,5796
15906,'Andhaa Kaanoon',6.1,648
15918,'Ardh Satya',8.2,1555
15920,'L\'argent',7.5,8528
15923,'Ator l\'invincibile',3.2,2179
15929,Austeria,7.0,527
15931,'BMX Bandits',5.5,4899
15934,'Baby It\'s You',6.3,1695
15936,'Bad Boys',7.2,13933
15937,'Baai ga jai',7.5,2931
15939,'Le bal',7.8,2554
15940,'Balkan ekspres',7.8,2211
15942,'Hadashi no Gen',8.0,7157
15945,'The Being',4.3,1294
15947,'La belle captive',6.5,984
15952,Betrayal,7.1,1471
15954,'The Honorary Consul',5.8,1208
15958,Bianca,7.4,2937
15959,'Las bicicletas son para el verano',7.2,651
15960,'The Big Chill',7.2,32913
15964,'The Black Stallion Returns',6.0,2020
15966,'Blade Violent - I violenti',4.8,889
15969,'Blood Rage',5.8,3717
15971,'Blue Thunder',6.4,17473
15977,'Revenge of the Boogeyman',2.0,934
15978,'Born in Flames',6.4,1060
15981,Brainstorm,6.5,10901
15985,Breathless,5.9,8451
15987,Bullshot,6.1,612
15993,Canicule,5.7,823
15997,'A Caribbean Mystery',6.4,588
15998,Carmen,7.6,2912
16003,'La casa con la scala nel buio',6.0,3055
16012,'Chained Heat',5.0,2065
16014,Champions,6.5,575
16018,'Chi trova un amico trova un tesoro',7.2,10476
16019,'La chiave',5.5,2525
16024,Christine,6.7,72525
16025,'A Christmas Story',7.9,132913
16026,Chuchelo,7.7,1464
16034,'La ciudad y los perros',7.4,589
16035,Class,6.0,9615
16039,'Les compres',7.0,5389
16040,Conquest,5.3,2017
16043,Coolie,6.6,2044
16044,'Copper Mountain',2.2,2036
16047,'Copkiller (l\'assassino dei poliziotti)',5.5,875
16051,'Coup de foudre',7.1,1693
16053,'El crack dos',7.1,572
16054,'Smorgasbord (The Movie)',6.1,829
16059,'Cross Creek',7.0,1602
16060,Cujo,6.1,39757
16062,'Curse of the Pink Panther',4.4,5530
16063,Curtains,5.7,4211
16064,'D.C. Cab',5.6,4342
16067,'Daffy Duck\'s Movie: Fantastic Island',7.1,1712
16068,'Les Dalton en cavale',6.2,558
16071,Daniel,6.6,1162
16072,'Dans la ville blanche',7.4,1039
16074,'The Day After',7.0,14463
16077,'The Dead Zone',7.2,62443
16082,'Deal of the Century',4.7,3551
16084,'Death Screams',4.4,555
16090,'Le dernier combat',6.8,5632
16096,'The Devonsville Terror',4.7,797
16107,'Do pivnice',7.6,932
16109,'Doctor Detroit',5.3,5321
16112,'Don Camillo',5.7,1793
16116,'The Dresser',7.6,4830
16121,'Easy Money',6.3,7882
16124,'Eddie Macon\'s Run',5.7,1018
16125,'Eddie Murphy: Delirious',8.2,16458
