,title,averageRating,numVotes
913,'A Burlesque on Carmen',6.0,1498
914,'The Cheat',6.6,2358
948,'A Fool There Was',5.8,799
969,'His New Job',6.2,1649
976,'In the Park',5.7,1410
984,'A Jitney Elopement',6.0,1154
1014,'A Night Out',6.0,1541
1015,'A Night in the Show',6.5,1805
1022,'Pool Sharks',5.5,998
1024,'Posle smerti',6.9,814
1028,'Rapsodia satanica',6.9,621
1029,'The Regeneration',6.8,1141
1037,Shanghaied,6.3,1367
1048,'The Tramp',7.0,3017
1050,'Les vampires',7.3,4281
1062,'A Woman',6.5,1605
1063,Work,6.3,1477
1085,'Behind the Screen',7.0,2451
1099,'The Children in the House',4.5,560
1103,'The Count',6.6,1990
1131,'The Fireman',6.6,2283
1133,'The Floorwalker',6.6,2110
1140,'Going Straight',5.2,609
1149,'Hell\'s Hinges',6.8,854
1156,'Hoodoo Ann',5.6,837
1164,'Intolerance: Love\'s Struggle Throughout the Ages',7.7,14231
1168,Judex,7.4,885
1189,'The Matrimaniac',6.0,576
1195,'The Mystery of the Leaping Fish',6.9,835
1202,'One A.M.',7.1,2953
1206,'The Pawnshop',7.1,3067
1209,'Pikovaya dama',6.9,631
1211,Police,6.5,1592
1218,'Reggie Mixes In',4.8,567
1221,'The Rink',7.1,3310
1235,'The Social Secretary',5.3,507
1247,'Triple Trouble',5.2,952
1251,'The Vagabond',6.9,2554
1257,'Where Are My Children?',6.3,616
1261,'The Adventurer',7.4,3617
1282,'The Butcher Boy',6.3,1403
1291,'Coney Island',6.3,1477
1293,'The Cure',7.2,3152
1300,'Easy Street',7.5,4824
1328,Himmelskibet,6.5,614
1329,'His Wedding Night',6.0,918
1332,'The Immigrant',7.6,7547
1334,'Joan the Woman',6.5,512
1340,'The Little American',6.0,613
1342,'The Little Princess',5.8,641
1363,'Oh Doctor!',5.9,816
1375,'The Poor Little Rich Girl',6.7,1295
1379,'Rebecca of Sunnybrook Farm',6.1,778
1383,'A Romance of the Redwoods',5.8,753
1384,'The Rough House',5.6,1150
1412,'Terje Vigen',7.4,1560
1433,'Wild and Woolly',6.4,564
1447,'Amarilly of Clothes-Line Alley',5.8,743
1454,'Die Augen der Mumie Ma',5.5,564
1458,'The Bell Boy',6.7,1107
1459,'Berg-Ejvind och hans hustru',7.2,1568
1461,'The Blue Bird',7.0,801
1464,'The Bond',5.5,964
1477,'The Cook',6.5,1398
1486,'A Dog\'s Life',7.8,7553
1492,'Das fidele Gefngnis',6.2,526
1508,'Hearts of the World',6.4,914
1521,'Johanna Enlists',5.1,596
1534,'The Married Virgin',5.2,614
1537,Mickey,5.9,1064
1539,Moonshine,5.8,650
1552,'Out West',6.3,921
1575,'Shifting Sands',5.1,701
1576,'Shoulder Arms',7.3,6160
1578,'The Sinking of the \'Lusitania\'',6.8,1029
1583,'Stella Maris',6.7,1369
1589,'Tarzan of the Apes',5.7,709
1620,'Anders als die Andern',7.0,1154
1622,'Ask Father',7.0,1012
1624,'Ravished Armenia',5.8,1089
1625,'Die Austernprinzessin',7.2,1676
1627,'Back Stage',6.6,1099
1628,'Back to God\'s Country',6.3,863
1636,'Blind Husbands',7.0,1361
1639,'Broken Blossoms or The Yellow Man and the Girl',7.3,9459
1642,'Bumping Into Broadway',7.0,1081
1644,'The Busher',5.7,638
1655,Daddy-Long-Legs,6.5,1313
1658,'A Day\'s Pleasure',6.7,2859
1660,'The Delicious Little Devil',5.9,815
1662,'Don\'t Change Your Husband',6.6,1125
1666,'Eyes of Youth',5.3,647
1677,'From Hand to Mouth',7.0,941
1678,'The Garage',6.7,1203
1687,'The Greatest Question',5.7,674
1695,Harakiri,5.7,569
1699,'The Hayseed',5.9,699
1701,'Heart o\' the Hills',5.7,509
1703,'Herr Arnes pengar',7.2,1201
1707,'His Royal Slyness',6.3,599
1710,'The Hoodlum',6.7,934
1712,'Ich mchte kein Mann sein',6.9,1278
1716,'J\'accuse',7.7,1461
1724,'Das Cabinet des Dr. Caligari',8.1,57409
1738,'Male and Female',7.0,1730
1773,Prsidenten,6.6,786
1774,'Die Puppe',7.4,1736
1782,'The Roaring Road',5.2,592
1801,Sunnyside,6.7,2709
1813,'True Heart Susie',7.0,1625
1823,'When the Clouds Roll by',6.9,792
1830,'Yankee Doodle in Berlin',5.5,727
1839,'Anna Boleyn',6.6,588
1847,'Blade af Satans bog',6.7,1100
1858,'Convict 13',7.1,2793
1876,'Dr. Jekyll and Mr. Hyde',7.0,4921
1880,'An Eastern Westerner',6.9,1323
1883,Erotikon,6.6,733
1897,Genuine,6.0,879
1898,'Get Out and Get Under',6.7,834
1909,'Haunted Spooks',6.7,1178
1915,'High and Dizzy',6.9,1059
1938,'The Last of the Mohicans',6.7,1130
1949,'The Mark of Zorro',7.1,2221
1963,Neighbors,7.6,3767
1968,'One Week',8.2,7134
1972,'The Penalty',7.4,2059
1983,Prstnkan,7.1,1052
1996,'The Saphead',6.1,1445
1998,'The Scarecrow',7.8,3655
2010,'Something to Think About',5.2,580
2018,Sumurun,6.1,643
2040,'Way Down East',7.4,5055
2045,'Why Change Your Wife?',6.7,1339
2047,'Within Our Gates',6.4,2606
2056,'The Ace of Hearts',6.8,1084
2060,'The Affairs of Anatol',6.6,1213
2065,'Among Those Present',6.6,670
2077,'Die Bergkatze',6.9,1048
2083,'The Blot',6.8,512
2084,'The Boat',7.1,2940
2090,Camille,6.6,881
2119,'The Four Horsemen of the Apocalypse',7.2,3086
2124,'The Goat',7.7,3862
2130,'Hard Luck',7.0,2012
2131,'The Haunted House',7.0,2672
2132,'The \'High Sign\'',7.6,2647
2138,'I Do',6.2,683
2139,'The Idle Class',7.4,3304
2149,'The Kid',8.3,113240
2153,Krkarlen,8.1,10684
2176,'Der mde Tod',7.6,5313
2177,'Never Weaken',7.5,1603
2179,'Now or Never',6.8,739
2184,'Orphans of the Storm',7.3,4762
2187,'The Paleface',6.9,2709
2194,'The Play House',7.5,3789
2199,'Rhythmus 21',5.7,1254
2203,'A Sailor-Made Man',6.9,962
2207,'Schlo Vogeld',6.2,1518
2209,'The Sheik',6.4,3106
2228,'The Three Musketeers',6.9,860
2231,'Tol\'able David',6.8,1741
2266,'Beauty\'s Worth',6.1,770
2268,'Beyond the Rocks',6.7,2220
2270,'The Blacksmith',6.9,2398
2273,'Blood and Sand',6.5,1247
2277,'Der brennende Acker',7.0,575
2287,Cops,7.6,5732
2291,'Day Dreams',6.9,2174
2294,'Dr. Jack',7.1,1256
2303,'The Electric House',7.2,2455
2316,'Foolish Wives',7.0,3161
2319,'The Frozen North',6.5,1877
2325,'Grandma\'s Boy',7.0,1651
2335,Hxan,7.7,12444
2358,'The Lucky Dog',6.0,678
2376,'My Wife\'s Relations',6.6,1915
2379,'Nanook of the North',7.6,10905
2384,'Oliver Twist',6.7,723
2393,'Pay Day',7.6,3789
2397,Phantom,6.9,1560
2407,'Robin Hood',7.2,2003
2408,Salom,6.7,830
2412,'Schatten - Eine nchtliche Halluzination',6.8,874
2416,'Sherlock Holmes',5.8,564
2425,'La souriante Madame Beudet',6.7,2158
2431,'The Three Must-Get-Theres',6.9,510
2436,'The Toll of the Sea',6.6,661
2451,'When Knighthood Was in Flower',6.3,969
2461,'Alice\'s Wonderland',6.5,605
2474,'The Balloonatic',6.6,2654
2500,'Coeur fidle',7.5,1129
2503,'The Covered Wagon',6.6,522
2513,'Dnevnik Glumova',5.6,730
2521,'The Extra Girl',6.6,1072
2530,'Les grenouilles qui demandent un roi',7.1,528
2541,'Gsta Berlings saga',7.1,1103
2547,'The Hunchback of Notre Dame',7.2,4845
2571,'Little Old New York',6.2,891
2574,'The Love Nest',6.9,2050
2600,'Our Hospitality',7.8,10208
2604,'The Pilgrim',7.4,4465
2613,'Le retour  la raison',6.4,1743
2618,'La roue',7.5,1943
2622,'Safety Last!',8.1,18407
2625,Scaramouche,7.0,539
2640,'Souls for Sale',7.0,837
2652,'The Ten Commandments',6.8,1972
2653,'Three Ages',7.1,4044
2667,'Das Wachsfigurenkabinett',6.6,1795
2675,'Why Worry?',7.4,1581
2679,'A Woman of Paris: A Drama of Fate',7.0,4889
2680,Zaza,6.2,793
2684,Aelita,6.5,2344
2703,'Ballet mcanique',6.7,2718
2738,'The Enchanted Cottage',6.6,614
2739,'Entr\'acte',7.4,3520
2745,'La fille de l\'eau',6.9,538
2746,'Die Finanzen des Groherzogs',6.4,755
2754,'Girl Shy',7.7,3084
2762,'He Who Gets Slapped',7.8,3199
2775,'Hot Water',7.2,1238
2778,'L\'inhumaine',7.2,736
2780,'The Iron Horse',7.2,1958
2782,'Janice Meredith',5.6,663
2786,Kinoglaz,7.1,912
2790,'Der letzte Mann',8.1,12642
2799,Manhandled,6.5,978
2801,'The Marriage Circle',7.1,1082
2804,Michael,7.1,1582
2812,'The Navigator',7.7,9092
2814,'Neobychainye priklyucheniya mistera Vesta v strane bolshevikov',6.6,890
2817,'Die Nibelungen: Kriemhilds Rache',7.9,3981
2818,'Die Nibelungen: Siegfried',8.1,5242
2826,'Orlacs Hnde',7.0,2461
2831,'Paris qui dort',7.2,1573
2835,'Peter Pan',7.1,905
2858,'Sherlock Jr.',8.2,41954
2870,Stachka,7.6,7092
2875,'Symphonie diagonale',6.0,1272
2881,'The Thief of Bagdad',7.7,5603
2917,'Die Abenteuer des Prinzen Achmed',7.8,5448
2947,'The Big Parade',7.9,6186
2951,'Body and Soul',6.2,792
2956,'Bronenosets Potemkin',8.0,53042
2964,'Shakhmatnaya goryachka',7.2,1195
2966,'The Circle',6.2,516
2973,Cobra,6.3,684
2995,'Du skal re din hustru',7.1,1753
2998,'The Eagle',6.6,1754
3013,'The Freshman',7.5,4988
3014,'Die freudlose Gasse',7.2,1402
3020,'Go West',7.2,3844
3021,'The Gold Rush',8.2,101002
3025,'Grass: A Nation\'s Battle for Life',7.8,935
3027,Greed,8.1,9075
3070,'Lady Windermere\'s Fan',7.3,1007
3071,'Lady of the Night',6.6,550
3078,'Little Annie Rooney',6.7,885
3079,'The Little Colonel',7.1,1457
3085,'The Lost World',7.0,4636
3101,'The Merry Widow',7.3,2150
3107,'The Monster',6.2,922
3130,'The Phantom of the Opera',7.6,16743
3134,'The Pleasure Garden',6.0,2172
3163,'Seven Chances',7.9,9278
3184,'Stage Struck',6.5,844
3201,Tumbleweeds,6.5,546
3207,'The Unholy Three',7.2,1674
3210,Variet,7.4,1049
3212,'Visages d\'enfants',7.7,697
3229,'The Wizard of Oz',5.1,1408
3237,'Zander the Great',5.3,608
3260,'Bardelys the Magnificent',6.9,1066
3262,'The Bat',6.5,699
3263,'Battling Butler',7.0,2961
3268,'Ben-Hur: A Tale of the Christ',7.8,7110
3273,'The Black Pirate',7.1,1691
3274,'The Blackbird',6.8,660
3278,'La Bohme',7.3,1432
3287,'Brown of Harvard',6.2,1400
3324,'Don Juan',7.0,741
3332,'Ella Cinders',6.7,896
3344,'Faust: Eine deutsche Volkssage',8.1,13936
3352,'Fine Manners',5.7,769
3358,'Flesh and the Devil',7.6,3953
3365,'For Heaven\'s Sake',7.4,1456
3371,'Geheimnisse einer Seele',6.9,644
3387,'Der heilige Berg',6.7,697
3422,'Kurutta ippji',7.4,2918
3433,'The Lodger: A Story of the London Fog',7.3,10400
3445,'The Magician',6.7,560
3455,Mat,7.5,2515
3458,Metropolis,8.3,159924
3467,Moana,6.8,548
3473,Nana,6.8,716
3503,'Po zakonu',7.7,950
3527,'The Scarlet Letter',7.6,1562
3554,'The Son of the Sheik',6.6,1806
3559,Sparrows,7.3,1160
3562,'The Strong Man',6.7,776
3563,'Der Student von Prag',6.9,592
3565,'Herr Tartff',7.1,2138
3566,'The Temptress',6.9,1081
3571,'3 Bad Men',7.5,1035
3576,Torrent,6.9,700
3595,'West Point',6.5,1719
3606,'The Winning of Barbara Worth',7.0,709
3636,'The Battle of the Century',7.2,1051
3637,'The Beloved Rogue',6.8,706
3638,'Berlin - Die Sinfonie der Grostadt',7.6,3920
3655,'Call of the Cuckoo',6.1,518
3660,'The Cat and the Canary',7.1,2723
3662,'Chang: A Drama of the Wilderness',6.9,887
3663,'Sur un air de Charleston',5.9,615
3674,College,7.1,4407
3681,'La coquille et le clergyman',7.0,1810
3690,'Devushka s korobkoy',7.2,615
3693,'Do Detectives Think?',6.9,849
3696,Downhill,6.1,2207
3700,'Duck Soup',6.6,813
3702,'Easy Virtue',5.7,2526
3708,'The Fair Co-Ed',5.6,707
3713,'Felix in Hollywood',6.5,877
3721,'Flying Elephants',6.1,525
3739,'The General',8.1,81099
3747,'La glace  trois faces',7.0,780
3757,Schaste,7.4,929
3781,It,7.3,2968
3783,'The Jazz Singer',6.5,9069
3788,'The Kid Brother',7.6,3851
3789,'The King of Kings',7.2,1919
3795,'Konets Sankt-Peterburga',7.3,1536
3799,'From Soup to Nuts',6.8,906
3800,'Die Liebe der Jeanne Ney',7.3,671
3802,'London After Midnight',6.8,1178
3806,Love,7.0,887
3807,'The Love of Sunya',6.1,765
3825,'Mr. Wu',6.4,530
3826,'My Best Girl',7.4,791
3829,'Napolon vu par Abel Gance',8.1,7014
3839,Oktyabr,7.5,7047
3864,'Putting Pants on Philip',6.7,799
3866,'Quality Street',6.4,730
3868,'The Red Mill',6.7,1338
3875,'The Ring',6.2,3164
3890,'The Second 100 Years',6.9,681
3896,'7th Heaven',7.6,3192
3906,'The Show',6.9,502
3916,'Spring Fever',6.0,883
3920,'The Student Prince in Old Heidelberg',7.6,1360
3921,'Sugar Daddies',6.3,535
3923,'Sunrise: A Song of Two Humans',8.1,46853
3930,'Tell It to the Marines',6.9,1424
3941,'Tretya meshchanskaya',7.4,1052
3946,'Twelve Miles Out',5.1,549
